Symbol	BREAST_BT549	BREAST_HS578T	BREAST_MCF7	BREAST_MCF7ADR	BREAST_MDAMB231	BREAST_MDAMB435	BREAST_T47D
SYPL1	2.852156983	2.986310173	3.316946014	3.230585461	3.095394634	3.085706784	2.861538644
TACO1	2.104038953	2.082843824	2.307420891	2.260992991	2.203736666	2.221249015	2.296124586
TAF9	3.102345575	2.647446292	2.578739745	2.647463718	2.791728947	2.773471859	2.794832185
TAGLN2	3.397926004	3.107294333	2.923192847	3.024842819	3.251161106	3.282311424	2.977046118
TALDO1	2.936169041	3.143507262	2.825045835	2.828816259	3.40056025	3.383617355	3.03301882
TARDBP	2.886054351	2.575841292	2.869323619	2.845777271	2.846213727	2.837789994	2.758842028
TARS	3.301816356	3.590063196	3.113357454	3.209370614	3.474926723	3.439942659	2.979271956
TAX1BP3	3.502749665	3.289270233	3.175433166	3.163423225	3.217158323	3.202432167	3.148970528
TBCA	3.472961727	3.335087262	3.254907685	3.394025695	3.44318502	3.472822902	3.364541453
TBCB	3.118845224	3.043091448	2.921530744	2.845539768	3.05440368	3.056110008	2.583943549
TBRG4	2.518275071	2.380512663	2.294598627	2.270065549	2.434948615	2.450964871	2.314434566
TCEA1	3.55013788	3.811426282	3.150533959	3.116046035	3.123623067	3.087813497	3.485947075
TCEB1	2.60831958	2.485241903	2.082497822	2.184468141	2.253949856	2.324723141	2.289412562
TCEB2	2.309152894	2.063026538	2.150398707	2.199851467	2.38967149	2.413280952	2.142072345
TCERG1	2.924547606	2.654654529	2.912969163	2.937981559	2.820770394	2.814606391	2.763736569
TCP1	3.380999904	3.094355391	3.056691369	3.040518737	3.124973111	3.104102141	2.98992797
TECR	2.925321467	2.736262791	2.909353783	2.817525508	2.987672201	2.995254568	2.572561019
TFRC	3.413325	2.766334981	3.325859545	3.356734977	3.503512174	3.468398651	3.916841133
THBS1	2.133970031	2.3719719	1.240367419	1.58062298	2.244550665	2.32097392	1.980554648
THEM6	2.110775029	1.829537095	2.247231375	2.227038399	1.995633011	1.940620961	2.17588367
THOP1	2.19015141	1.889229712	1.895722396	1.881242771	2.219740214	2.251297815	1.944483741
